freq,unit,coicop,geo\TIME_PERIOD	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,RCH_A,CP01,IS	5.1 	5.7 	6.0 	6.1 	5.2 	5.6 	6.2 	6.2 	6.4 	: 
M,RCH_A,CP01,IT	2.6 	3.3 	3.3 	3.5 	4.1 	4.2 	3.7 	2.6 	1.9 	: 
M,RCH_A,CP01,LT	4.3 	4.8 	4.1 	5.0 	5.7 	6.2 	5.0 	5.2 	4.5 	: 
M,RCH_A,CP01,LU	0.8 	1.6 	1.5 	2.3 	2.7 	2.8 	2.6 	2.4 	2.8 	: 
M,RCH_A,CP01,LV	6.5 	7.4 	7.6 	6.5 	7.0 	7.6 	6.9 	5.7 	5.3 	: 
M,RCH_A,CP01,ME	0.8 d	2.6 d	4.2 d	5.4 d	5.5 d	5.7 d	6.5 d	5.8 d	3.4 d	: 
M,RCH_A,CP01,MK	3.0 d	2.4 d	5.7 d	7.3 d	8.0 d	6.8 d	3.5 d	6.2 d	4.5 d	: 
M,RCH_A,CP01,MT	3.2 	3.9 	4.2 	4.2 	3.8 	4.0 	3.6 	3.3 	3.4 	: 
M,RCH_A,CP01,NL	3.9 	4.0 	4.2 	4.4 	4.7 	4.2 	4.3 	4.3 	3.4 	: 
M,RCH_A,CP01,NO	8.5 	3.6 	5.1 	4.4 	5.6 	5.2 	6.2 	6.0 	4.6 	: 
M,RCH_A,CP01,PL	6.3 	5.1 	5.2 	4.5 	4.8 	4.8 	4.2 	3.3 	2.8 	: 
M,RCH_A,CP01,PT	1.7 	1.6 	2.6 	3.1 	3.8 	4.0 	4.0 	3.5 	3.5 	: 
M,RCH_A,CP01,RO	5.0 	5.6 	6.8 	7.8 	8.1 	9.1 	7.8 	7.5 	7.6 	: 
M,RCH_A,CP01,RS	4.9 d	5.0 d	5.8 d	7.6 d	8.4 d	8.2 d	2.0 d	0.7 d	-0.2 d	: 
M,RCH_A,CP01,SE	5.4 	5.4 	5.0 	5.2 	4.9 	4.6 	3.3 	3.7 	2.9 	: 
M,RCH_A,CP01,SI	3.4 	6.0 	5.5 	6.7 	7.9 	7.7 	7.2 	6.7 	5.1 	: 
M,RCH_A,CP01,SK	3.2 	3.6 	3.9 	4.2 	4.4 	3.9 	3.6 	1.4 	0.9 	: 
M,RCH_A,CP01,TR	37.1 d	36.1 d	32.8 d	30.1 d	27.9 d	33.2 d	36.0 d	34.9 d	27.4 d	: 
M,RCH_A,CP01,XK	6.6 d	7.0 d	8.2 d	8.8 d	9.2 d	9.3 d	8.2 d	8.0 d	8.7 d	: 
M,RCH_A,CP011,AL	2.5 d	3.0 d	1.8 d	2.2 d	1.8 d	1.7 d	1.1 d	1.3 d	1.8 d	: 
M,RCH_A,CP011,AT	2.2 	2.2 	2.3 	3.7 	4.2 	4.4 	3.0 	3.4 	3.1 	: 
M,RCH_A,CP011,BE	2.3 	2.6 	2.4 	2.9 	2.8 	2.7 	3.0 	2.5 	2.8 	: 
M,RCH_A,CP011,BG	5.0 	5.6 	6.3 	7.0 	7.3 	6.5 	5.7 	6.0 	4.8 	: 
M,RCH_A,CP011,CH	-0.7 	-1.2 	-0.9 	-0.7 	-1.4 	-1.2 	-1.4 	-1.1 	-0.9 	: 
M,RCH_A,CP011,CY	2.9 	3.2 	2.3 	-0.2 	-2.5 	-2.8 	-2.6 	-2.5 	-2.2 	: 
